sample_id,step,chunk_id,token_start,token_end,importance
comparison_01,0,0,0,63,0.6019002199172974
comparison_01,0,1,64,127,0.020090611651539803
comparison_01,0,2,128,191,0.014706144109368324
comparison_01,0,3,192,255,0.017268052324652672
comparison_01,0,4,256,319,0.011650877073407173
comparison_01,0,5,320,383,0.006374696269631386
comparison_01,0,6,384,447,0.028467252850532532
comparison_01,0,7,448,511,0.013495154678821564
comparison_01,0,8,512,575,0.00600089319050312
comparison_01,0,9,576,639,0.007673359476029873
comparison_01,0,10,640,703,0.00673060305416584
comparison_01,0,11,704,767,0.010801732540130615
comparison_01,0,12,768,831,0.010443422943353653
comparison_01,0,13,832,895,0.16200928390026093
comparison_01,0,14,896,900,0.082387775182724
comparison_01,1,0,0,63,0.5966319441795349
comparison_01,1,1,64,127,0.018361501395702362
comparison_01,1,2,128,191,0.013036844320595264
comparison_01,1,3,192,255,0.01741883158683777
comparison_01,1,4,256,319,0.010826691053807735
comparison_01,1,5,320,383,0.006092398427426815
comparison_01,1,6,384,447,0.04140271246433258
comparison_01,1,7,448,511,0.012993878684937954
comparison_01,1,8,512,575,0.006681870669126511
comparison_01,1,9,576,639,0.008054444566369057
comparison_01,1,10,640,703,0.006335309706628323
comparison_01,1,11,704,767,0.01141398586332798
comparison_01,1,12,768,831,0.009692369028925896
comparison_01,1,13,832,895,0.14986935257911682
comparison_01,1,14,896,901,0.09118801355361938
comparison_01,2,0,0,63,0.5897409915924072
comparison_01,2,1,64,127,0.018498826771974564
comparison_01,2,2,128,191,0.012087310664355755
comparison_01,2,3,192,255,0.01754496619105339
comparison_01,2,4,256,319,0.010559454560279846
comparison_01,2,5,320,383,0.006187494844198227
comparison_01,2,6,384,447,0.03879384696483612
comparison_01,2,7,448,511,0.014137810096144676
comparison_01,2,8,512,575,0.006516976747661829
comparison_01,2,9,576,639,0.007132058031857014
comparison_01,2,10,640,703,0.006076055578887463
comparison_01,2,11,704,767,0.011995166540145874
comparison_01,2,12,768,831,0.00950995460152626
comparison_01,2,13,832,895,0.14081263542175293
comparison_01,2,14,896,902,0.11040641367435455
comparison_01,3,0,0,63,0.6052786707878113
comparison_01,3,1,64,127,0.014101838693022728
comparison_01,3,2,128,191,0.012032397091388702
comparison_01,3,3,192,255,0.014461679384112358
comparison_01,3,4,256,319,0.009142089635133743
comparison_01,3,5,320,383,0.006244693882763386
comparison_01,3,6,384,447,0.040804263204336166
comparison_01,3,7,448,511,0.012338782660663128
comparison_01,3,8,512,575,0.006637426093220711
comparison_01,3,9,576,639,0.00735357403755188
comparison_01,3,10,640,703,0.006236974149942398
comparison_01,3,11,704,767,0.01019283290952444
comparison_01,3,12,768,831,0.00940636359155178
comparison_01,3,13,832,895,0.13726739585399628
comparison_01,3,14,896,903,0.10850095748901367
